block_id,verdict,footprint_class,ops_touched
transformers__GPT2ForQuestionAnswering__30e06c36,Refuted,audited,clamp|contiguous|linear|split|squeeze
transformers__GPT2ForSequenceClassification__26ea2284,Refuted,tested-only,argmax|creation_ops|linear|squeeze|view
transformers__GPT2ForTokenClassification__abb65812,Refuted,audited,dropout|linear|view
transformers__GPT2LMHeadModel__f7dd424c,Refuted,audited,linear
transformers__GPT2MLP__198760b0,Abstain,audited,dropout
transformers__GPT2Model__3940f67c,Refuted,tested-only,creation_ops|dropout|embed|layer_norm|unsqueeze|view
transformers__GPT2PreTrainedModel__7452c372,Refuted,audited,embed|layer_norm|linear
transformers__GPT2SequenceSummary__d6c4589c,Abstain,audited,dropout|expand|gather|linear|reduce|squeeze|unsqueeze
transformers__T5Attention__e925d4be,Abstain,tested-only,contiguous|creation_ops|einsum|elementwise_binary|embed|linear|matmul|permute|reduce|to|transpose|unsqueeze|view|where
transformers__T5Block__1480b6f9,Refuted,audited,clamp|where
transformers__T5ClassificationHead__bfd32115,Verified,audited,dropout|linear|tanh
transformers__T5DenseActDense__9f886322,Abstain,audited,dropout|linear
transformers__T5DenseGatedActDense__494ec975,Abstain,audited,dropout|linear
transformers__T5EncoderModel__1c87733d,Refuted,audited,embed
transformers__T5ForConditionalGeneration__da9445ce,Refuted,audited,embed|linear|view
transformers__T5ForQuestionAnswering__10c6b9c0,Refuted,audited,clamp|contiguous|embed|linear|split|squeeze
transformers__T5ForSequenceClassification__9276522e,Refuted,audited,reduce|squeeze|view
transformers__T5ForTokenClassification__94d40192,Refuted,audited,dropout|linear|view
transformers__T5LayerCrossAttention__8e29c5ad,Abstain,audited,dropout
transformers__T5LayerFF__6420723a,Abstain,audited,dropout
transformers__T5LayerNorm__f2d13050,Verified,tested-only,creation_ops|elementwise_binary|reduce|to
transformers__T5LayerSelfAttention__e603b033,Abstain,audited,dropout
transformers__T5Model__a2aaa18c,Refuted,audited,embed
transformers__T5PreTrainedModel__9585803b,Refuted,tested-only,cat|creation_ops
transformers__T5Stack__3c5b9f6a,Refuted,tested-only,creation_ops|dropout|expand|reshape|scaled_dot_product_attention|to|view
transformers__LlamaAttention__44665150,Abstain,tested-only,contiguous|linear|reshape|rotary_embedding|transpose|view
transformers__LlamaDecoderLayer__fd4ea02c,Refuted,audited,rms_norm
transformers__LlamaForCausalLM__509afe82,Refuted,audited,linear
transformers__LlamaForQuestionAnswering__09da66a6,Refuted,audited,
transformers__LlamaForSequenceClassification__7339e740,Refuted,audited,
transformers__LlamaForTokenClassification__f972e4a9,Refuted,audited,
transformers__LlamaMLP__8e486096,Abstain,audited,linear
transformers__LlamaModel__3fb478fa,Refuted,tested-only,creation_ops|embed|rms_norm|rotary_embedding|unsqueeze
transformers__LlamaPreTrainedModel__b255e18b,Refuted,audited,
transformers__LlamaRMSNorm__3d26a92d,Verified,tested-only,creation_ops|elementwise_binary|reduce|rms_norm|to
transformers__LlamaRotaryEmbedding__fbfd2bd8,Abstain,audited,cat|expand|to|transpose
transformers__ViTAttention__bf90faa3,Abstain,audited,
transformers__ViTEmbeddings__8cff6acb,Abstain,tested-only,cat|creation_ops|dropout|expand|permute|reshape|unsqueeze|view
transformers__ViTEncoder__856aaef3,Abstain,audited,
transformers__ViTForImageClassification__adc20c40,Refuted,audited,linear
transformers__ViTForMaskedImageModeling__062602cb,Refuted,tested-only,contiguous|conv2d|permute|pixel_shuffle|reduce|repeat_interleave|reshape|unsqueeze
transformers__ViTIntermediate__bf39eb56,Abstain,audited,linear
transformers__ViTLayer__a25f9cd5,Refuted,audited,layer_norm
transformers__ViTModel__81e12b22,Refuted,audited,layer_norm
transformers__ViTOutput__f793a8e0,Verified,audited,dropout|linear
transformers__ViTPatchEmbeddings__ff83e5e8,Abstain,audited,conv2d|flatten|transpose
transformers__ViTPooler__f219ee12,Abstain,audited,linear
transformers__ViTPreTrainedModel__d86c5588,Refuted,audited,conv2d|layer_norm|linear|to
transformers__ViTSelfAttention__b1e54a36,Abstain,audited,linear|reshape|transpose|view
transformers__ViTSelfOutput__de6f238c,Verified,audited,dropout|linear
transformers__WhisperAttention__a202e02a,Abstain,audited,contiguous|linear|reshape|transpose|view
transformers__WhisperDecoder__f2b1f17b,Refuted,tested-only,creation_ops|embed|layer_norm|repeat|unsqueeze|view
transformers__WhisperDecoderLayer__7b88f11a,Refuted,audited,layer_norm|linear
transformers__WhisperDecoderWrapper__f16eb33b,Refuted,audited,
transformers__WhisperEncoder__ca6bd151,Refuted,tested-only,conv1d|creation_ops|embed|layer_norm|permute
transformers__WhisperEncoderLayer__02c95568,Refuted,audited,clamp|layer_norm|linear
